title,overview,rating,genre
"the good, the bad and the ugly","while the civil war rages on between the union and the confederacy, three men – a quiet loner, a ruthless hitman, and a mexican bandit – comb the american southwest in search of a strongbox containing $200,000 in stolen gold.",8.5,western
for a few dollars more,"two bounty hunters are in pursuit of ""el indio,"" one of the most wanted fugitives in the western territories, and his gang.",8.0,western
unforgiven,"william munny is a retired, once-ruthless killer turned gentle widower and hog farmer. to help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",7.9,western
rio bravo,"the sheriff of a small town in southwest texas must keep custody of a murderer whose brother, a powerful rancher, is trying to help him escape. after a friend is killed trying to muster support for him, he and his deputies must find a way to hold out against the rancher's hired guns until the marshal arrives. in the meantime, matters are complicated by the presence of a young gunslinger - and a mysterious beauty who just came in on the last stagecoach.",7.8,western
a fistful of dollars,"the man with no name enters the mexican village of san miguel in the midst of a power struggle among the three rojo brothers and sheriff john baxter. when a regiment of mexican soldiers bearing gold intended to pay for new weapons is waylaid by the rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",7.8,western
the man who shot liberty valance,"a senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",7.8,western
high noon,"will kane, the sheriff of a small town in new mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. knowing the outlaw and his gang are coming to kill him, kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",7.7,western
the searchers,"as a civil war veteran spends years searching for a young niece captured by indians, his motivation becomes increasingly questionable.",7.7,western
stagecoach,"a group of people traveling on a stagecoach find their journey complicated by the threat of geronimo, and learn something about each other in the process.",7.7,western
"duck, you sucker","at the beginning of the 1913 mexican revolution, greedy bandit juan miranda and idealist john h. mallory, an irish republican army explosives expert on the lam from the british, fall in with a band of revolutionaries plotting to strike a national bank. when it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- miranda becomes a revolutionary hero against his will.",7.7,western
tombstone,"legendary marshal wyatt earp, now a weary gunfighter, joins his brothers morgan and virgil to pursue their collective fortune in the thriving mining town of tombstone. but earp is forced to don a badge again and get help from his notorious pal doc holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",7.6,western
butch cassidy and the sundance kid,"in late 1890s wyoming, butch cassidy is the affable, clever and talkative leader of the outlaw hole in the wall gang. his closest companion is the laconic dead-shot sundance kid. as the west rapidly becomes civilized, the law finally catches up to butch, sundance and their gang.  chased doggedly by a special posse, the two decide to make their way to south america in hopes of evading their pursuers once and for all.",7.6,western
the wild bunch,"an aging group of outlaws look for one last big score as the ""traditional"" american west is disappearing around them.",7.6,western
the outlaw josey wales,"after avenging his family's brutal murder, wales is pursued by a pack of soldiers. he prefers to travel alone, but ragtag outcasts are drawn to him - and wales can't bring himself to leave them unprotected.",7.5,western
the revenant,"in the 1820s, a frontiersman, hugh glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",7.5,western
my darling clementine,"wyatt earp and his brothers morgan and virgil ride into tombstone and leave brother james in charge of their cattle herd. on their return they find their cattle stolen and james dead. wyatt takes on the job of town marshal, making his brothers deputies, and vows to stay in tombstone until james' killers are found. he soon runs into the brooding, coughing, hard-drinking doc holliday as well as the sullen and vicious clanton clan. wyatt discovers the owner of a trinket stolen from james' dead body and the stage is set for the earps' long-awaited revenge.",7.4,western
true grit,"the murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. she recruits a tough old marshal, 'rooster' cogburn because he has 'true grit', and a reputation of getting the job done.",7.4,western
high plains drifter,"a gunfighting stranger comes to the small settlement of lago. after gunning down three gunmen who tried to kill him, the townsfolk decide to hire the stranger to hold off three outlaws who are on their way.",7.4,western
el dorado,"cole thornton, a gunfighter for hire, joins forces with an old friend, sheriff j.p. harrah. together with a fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.",7.4,western
blazing saddles,"a town—where everyone seems to be named johnson—stands in the way of the railroad. in order to grab their land, robber baron hedley lamarr sends his henchmen to make life in the town unbearable. after the sheriff is killed, the town demands a new sheriff from the governor, so hedley convinces him to send the town the first black sheriff in the west.",7.3,western
hell or high water,a divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in west texas.,7.3,western
hud,"hud bannon is a ruthless young man who tarnishes everything and everyone he touches. hud represents the perfect embodiment of alienated youth, out for kicks with no regard for the consequences. there is bitter conflict between the callous hud and his stern and highly principled father, homer. hud's nephew lon admires hud's cheating ways, though he soon becomes too aware of hud's reckless amorality to bear him anymore. in the world of the takers and the taken, hud is a winner. he's a cheat, but, he explains, ""i always say the law was meant to be interpreted in a lenient manner.""",7.3,western
open range,a former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,7.2,western
3:10 to yuma,"in arizona in the late 1800s, infamous outlaw ben wade and his vicious gang of thieves and murderers have plagued the southern railroad. when wade is captured, civil war veteran dan evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to yuma"", a train that will take the killer to trial.",7.2,western
brimstone,"in the menacing inferno of the old north-american west, liz is a genuine survivor who is hunted by a vengeful preacher for a crime she didn’t commit.",7.1,western
the professionals,an arrogant texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious mexican bandit.,7.1,western
pale rider,a mysterious preacher protects a humble prospector village from a greedy mining company trying to encroach on their land.,7.1,western
