title,authors,overview,price(€),genre
Devil's Guard,George R. Elford,"The ashes of World War II were still cooling when France went to war in Vietnam. In that struggle, its frontline troops were the misfits, criminals and mercenaries of the French Foreign Legion. And among these, none were so bloodstained as the veterans of the German SS.",€11.30,adventure
Game of Thrones: The Story Continues,George R.R. Martin,"THE INSPIRATION FOR HBO AND SKY'S INTERNATIONAL SMASH HIT GAME OF THRONES
Discover the series behind the global phenomenon and the greatest fantasy epic of the modern age with this seven-book collection.",€81.26,adventure
"Three Sisters, Three Queens",Philippa Gregory,Synopsis coming soon.......,€12.50,adventure
Girl You Left Behind,Jojo Moyes,"France, 1916. Sophie Lefevre must keep her family safe whilst her adored husband Edouard fights at the front. When she is ordered to serve the German officers who descend on her hotel each evening, her home becomes riven by fierce tensions.",€14.34,adventure
Adventures of Indiana Jones,Zoe Somerville,"With his battered leather jacket, his trademark Fedora and his bullwhip, Indiana Jones has gone in search of adventure, confronted danger and unearthed an untold wealth of ancient treasures.",€17.43,adventure
Night of the Flood,Joe Abercrombie,"A literary thriller set during the devastating North Sea flood of 1953, in which a love triangle turns murderous.",€28.49,adventure
Blade Itself,Kentaro Miura,"The astonishing novel which launched Joe Abercrombie's career, THE BLADE ITSELF is a superb, dark and addictive epic fantasy.",€17.07,adventure
Berserk Volume 10,Simon Scarrow,"Warrior supreme Guts has returned, and just in time to save the weakened Band of the Hawk from certain destruction... and to form a bond with the beautiful warrior Casca. But job one is to find a way to free Griffith, the Hawks' leader, from the dank dungeons and round-the-clock tortures of the Hawks' former benefactor, the King of Midland.",€9.99€11.50,adventure
Britannia (Eagles of the Empire 14),Jane Kerr,"A Sunday Times top ten bestseller. Shortlisted for the Wilbur Smith Adventure Writing Prize. Wintery Roman Britain in AD 52 is the setting for an action-packed novel of courage, camaraderie and warfare from No. 1 bestselling Simon Scarrow, author of INVICTUS and GLADIATOR. The fourteenth novel in the bestselling Eagles of the Empire series.",€10.87,adventure
Elephant Thief,"George R.R. Martin, Elio M. Garcia Jr.","When street urchin Danny accidentally bids for Maharajah the elephant
at an Edinburgh auction, his life is transformed as he is swept
up on an unforgettable journey. But soon Danny's shady connections
threaten to destroy his new-found happiness. Will he ever escape
his past?",€44.60,adventure
World of Ice and Fire,Sven Hassel,The never-before-seen history of Westeros and the lands beyond. With hundreds of pages of all-new material from George R.R. Martin.,€12.20,adventure
Legion of the Damned,Jen Williams,"Sven Hassel's iconic war novel about the Russian Front, now relaunched with a stunning new look.",€14.79,adventure
Ninth Rain (The Winnowing Flame Trilogy 1),Oliver Bowden,**Winner of the British Fantasy Award for Best Fantasy Novel** The first book in the award-winning Winnowing Flame trilogy. Epic fantasy for fans of Robin Hobb and Jay Kristoff.,€13.94,adventure
Renaissance,Rosie Archer,"The Year of Our Lord 1476 - the Renaissance: culture and art flourish the bloodiest corruption and violence. Bitter blood-feuds rage between the warring political families of Italy. Following the murder of his father and brothers, Ezio Auditore di Firenze is entrusted with an ancient Codex, the key to a conspiracy that goes back to the centuries.",€13.43,adventure
The Munitions Girls,Stuart Turton,"1943, Gosport, Hampshire. Pixie Saunders is 19 and employed in the local armaments factory. The work is dangerous and the hours long, but in the evenings the girls take off their overalls and go to the pub or, better still, go dancing. Pixie meets American serviceman Cal and falls in love. She couldn't be happier. Then Pixie falls pregnant and her life changes dramatically. Alone and unable to work, she has to rely on the kindness of friends to help her survive. Happiness seems like a thing of the past. Little does she know that there are plenty of good surprises - and good ones at that. Love may be closer than she thinks.",€27.52,adventure
Seven Deaths of Evelyn Hardcastle,Rebecca Mascull,"A brilliantly original high concept murder mystery from a fantastic new talent: Gosford Park meets Groundhog Day, by way of Agatha Christie...",€11.97,adventure
Song of the Sea Maid,"J.K. Rowling, John Tiffany","Rich, evocative second novel from the author of THE VISITORS: 'Beautifully written... wonderful stuff.' - Sarah Broadhurst, The Bookseller.",€12.48,adventure
Harry Potter and the Cursed Child - Parts One and Two,Richard Francis Burton,"Married with children, overworked at the Ministry of Magic, and constantly reminded of a past he'd rather forget, Harry Potter still doesn't have it easy. As he struggles to find his place, his youngest son Albus is about to leave for Hogwarts for the first time, and having the surname Potter is sure to complicate things for him. Finding an unlikely friend in Scorpius, son of Draco Malfoy, both...",€12.16,adventure
Arabian Nights (Barnes & Noble Collectible Editions),Kurt Vonnegut,"This collection features more than twenty stories, in the classic translation of Sir Richard Burton, published between 1884 and 1886, and full-colour illustrations by Renata Fucikova and Jindra Capek. Among them are some of the best-known legends of eastern storytelling, including the ""Sinbad the Sailor"" and ""Aladdin and His Magic Lamp"" .",€24.19,adventure
Slaughterhouse 5,Neil Lancaster,"He is a true artist' New York Times Book Review
Billy Pilgrim ? hapless barber's assistant, successful optometrist, alien abductee, senile widower and soldier ? has become unstuck in time.",€14.87,adventure
Blood Tide,George R.R. Martin,'Think Jack Reacher fronting Line of Duty' Ian Rankin,€14.03,adventure
Clash of Kings,Mike Shackle,"HBO's hit series A GAME OF THRONES is based on George R R Martin's internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age. A CLASH OF KINGS is the second volume in the series.
'Nobody does fantasy quite like Martin' Sunday Times",€13.11,adventure
We Are The Dead,Maggie Mason,"The first book in The Last War series: a debut epic fantasy full of crunching revolutionary action, twisted magic, and hard choices in dark times.",€8.87€10.35,adventure
Halfpenny Girls at Christmas,Matt Johnson,The second novel in a brand new saga series set in the north of England from the bestselling author MARY WOOD writing as the much-loved Maggie Mason,€25.75,adventure
Deadly Game,Kate Mosse,"Reeling from the attempts on his life and that of his family, Police Inspector Robert Finlay returns to work to discover that any hope of a peaceful existence has been dashed.",€14.94,adventure
